id,name,state_id/id
kabupaten_id_331,Ogan Ilir,base.state_id_ss
kabupaten_id_332,Ogan Komering Ilir,base.state_id_ss
kabupaten_id_333,Ogan Komering Ulu,base.state_id_ss
kabupaten_id_334,Ogan Komering Ulu Selatan,base.state_id_ss
kabupaten_id_335,Ogan Komering Ulu Timur,base.state_id_ss
kabupaten_id_336,Pagar Alam,base.state_id_ss
kabupaten_id_337,Palembang,base.state_id_ss
kabupaten_id_338,Prabumulih,base.state_id_ss
kabupaten_id_339,Asahan,base.state_id_sa
kabupaten_id_340,Batu Bara,base.state_id_sa
kabupaten_id_341,Binjai,base.state_id_sa
kabupaten_id_342,Dairi,base.state_id_sa
kabupaten_id_343,Deli Serdang,base.state_id_sa
kabupaten_id_344,Gunungsitoli,base.state_id_sa
kabupaten_id_345,Humbang Hasundutan,base.state_id_sa
kabupaten_id_346,Karo,base.state_id_sa
kabupaten_id_347,Labuhan Batu,base.state_id_sa
kabupaten_id_348,Labuhan Batu Selatan,base.state_id_sa
kabupaten_id_349,Labuhan Batu Utara,base.state_id_sa
kabupaten_id_350,Langkat,base.state_id_sa
kabupaten_id_351,Mandailing Natal,base.state_id_sa
kabupaten_id_352,Medan,base.state_id_sa
kabupaten_id_353,Nias,base.state_id_sa
kabupaten_id_354,Nias Barat,base.state_id_sa
kabupaten_id_355,Nias Selatan,base.state_id_sa
kabupaten_id_356,Nias Utara,base.state_id_sa
kabupaten_id_357,Padang Lawas,base.state_id_sa
kabupaten_id_358,Padang Lawas Utara,base.state_id_sa
kabupaten_id_359,Padang Sidempuan,base.state_id_sa
kabupaten_id_360,Pakpak Bharat,base.state_id_sa
kabupaten_id_361,Pematang Siantar,base.state_id_sa
kabupaten_id_362,Samosir,base.state_id_sa
kabupaten_id_363,Serdang Bedagai,base.state_id_sa
kabupaten_id_364,Sibolga,base.state_id_sa
kabupaten_id_365,Simalungun,base.state_id_sa
kabupaten_id_366,Tanjung Balai,base.state_id_sa
kabupaten_id_367,Tapanuli Selatan,base.state_id_sa
kabupaten_id_368,Tapanuli Tengah,base.state_id_sa
kabupaten_id_369,Tapanuli Utara,base.state_id_sa
kabupaten_id_370,Tebing Tinggi,base.state_id_sa
kabupaten_id_371,Toba Samosir,base.state_id_sa
